Name,Population,Seats,SeatsProp,PopPerECVote,PopPerSeat,USProp,ECProp,Kind
 California,39538223,52,0.1195,732189,760350,0.1180,0.1004,S
 Texas,29145505,38,0.0874,728638,766987,0.0870,0.0743,S
 Florida,21538187,28,0.0644,717940,769221,0.0643,0.0558,S
 New York,20201249,26,0.0598,721473,776971,0.0603,0.0520,S
 Pennsylvania,13002700,17,0.0391,684353,764865,0.0388,0.0353,S
 Illinois,12812508,17,0.0391,674343,753677,0.0382,0.0353,S
 Ohio,11799448,15,0.0345,694085,786630,0.0352,0.0316,S
 Georgia,10711908,14,0.0322,669494,765136,0.0320,0.0297,S
 North Carolina,10439388,14,0.0322,652462,745671,0.0312,0.0297,S
 Michigan,10077331,13,0.0299,671822,775179,0.0301,0.0279,S
 New Jersey,9288994,12,0.0276,663500,774083,0.0277,0.0260,S
 Virginia,8631393,11,0.0253,663953,784672,0.0258,0.0242,S
 Washington,7705281,10,0.0230,642107,770528,0.0230,0.0223,S
 Arizona,7151502,9,0.0207,650137,794611,0.0213,0.0204,S
 Tennessee,6910840,9,0.0207,628258,767871,0.0206,0.0204,S
 Massachusetts,7029917,9,0.0207,639083,781102,0.0210,0.0204,S
 Indiana,6785528,9,0.0207,616866,753948,0.0203,0.0204,S
 Missouri,6154913,8,0.0184,615491,769364,0.0184,0.0186,S
 Maryland,6177224,8,0.0184,617722,772153,0.0184,0.0186,S
 Wisconsin,5893718,8,0.0184,589372,736715,0.0176,0.0186,S
 Colorado,5773714,8,0.0184,577371,721714,0.0172,0.0186,S
 Minnesota,5706494,8,0.0184,570649,713312,0.0170,0.0186,S
 South Carolina,5118425,7,0.0161,568714,731204,0.0153,0.0167,S
 Alabama,5024279,7,0.0161,558253,717754,0.0150,0.0167,S
 Louisiana,4657757,6,0.0138,582220,776293,0.0139,0.0149,S
 Kentucky,4505836,6,0.0138,563230,750973,0.0135,0.0149,S
 Oregon,4237256,6,0.0138,529657,706209,0.0127,0.0149,S
 Oklahoma,3959353,5,0.0115,565622,791871,0.0118,0.0130,S
 Connecticut,3605944,5,0.0115,515135,721189,0.0108,0.0130,S
 Utah,3271616,4,0.0092,545269,817904,0.0098,0.0112,S
 Iowa,3190369,4,0.0092,531728,797592,0.0095,0.0112,S
 Puerto Rico,3285874,1,—,—,—,0.0098,—,T
 Nevada,3104614,4,0.0092,517436,776154,0.0093,0.0112,S
 Arkansas,3011524,4,0.0092,501921,752881,0.0090,0.0112,S
 Kansas,2937880,4,0.0092,489647,734470,0.0088,0.0112,S
 Mississippi,2961279,4,0.0092,493547,740320,0.0088,0.0112,S
 New Mexico,2117522,3,0.0069,423504,705841,0.0063,0.0093,S
 Nebraska,1961504,3,0.0069,392301,653835,0.0059,0.0093,S
 Idaho,1839106,2,0.0046,459777,919553,0.0055,0.0074,S
 West Virginia,1793716,2,0.0046,448429,896858,0.0054,0.0074,S
 Hawaii,1455271,2,0.0046,363818,727636,0.0043,0.0074,S
 New Hampshire,1377529,2,0.0046,344382,688765,0.0041,0.0074,S
 Maine,1362359,2,0.0046,340590,681180,0.0041,0.0074,S
 Montana,1084225,2,0.0046,271056,542113,0.0032,0.0074,S
 Rhode Island,1097379,2,0.0046,274345,548690,0.0033,0.0074,S
 Delaware,989948,1,0.0023,329983,989948,0.0030,0.0056,S
 South Dakota,886667,1,0.0023,295556,886667,0.0027,0.0056,S
 North Dakota,779094,1,0.0023,259698,779094,0.0023,0.0056,S
 Alaska,733391,1,0.0023,244464,733391,0.0022,0.0056,S
 District of Columbia,689545,1,—,229848,—,0.0021,0.0056,D
 Vermont,643077,1,0.0023,214359,643077,0.0019,0.0056,S
 Wyoming,576851,1,0.0023,192284,576851,0.0017,0.0056,S
 Guam,153836,1,—,—,—,0.0005,—,T
 U.S. Virgin Islands,87146,1,—,—,—,0.0003,—,T
 American Samoa,49710,1,—,—,—,0.0002,—,T
 Northern Mariana Islands,47329,1,—,—,—,0.0001,—,T
